"","Apr","Aug","Dec","Feb","Jan","Jul","Jun","Mar","May","Nov","Oct","Sep","Fri","Mon","Sat","Sun","Thu","Tue","Wed","year","day","temp","visib","wdsp","prcp","fog","collisons"
"71",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2012,1,68.4,9.5,3,0.04,0,-0.972893824497958
"72",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2012,3,65.4,10,5.7,0.16,0,1.06871447014368
"73",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2012,4,62.8,10,3.1,0,0,-0.300225195627592
"74",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2012,5,68.5,10,2.1,0,0,1.23393132635745
"75",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2012,6,70.4,10,3.2,0,0,1.00970845006733
"76",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2012,7,70.5,9.7,2.3,0,0,0.738280757716131
"77",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2012,2,67.2,10,5.1,0.01,0,0.124618148922113
"78",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2012,1,65.1,10,1.9,0,0,-1.04370104858958
"79",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2012,3,66.5,10,2.2,0,0,-1.11450827268119
"80",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2012,4,70.6,7.6,5.5,0.11,1,0.112816944906843
"81",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2012,5,66.7,7.6,6.3,0.68,0,0.773684369761939
"82",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2012,6,61,10,4.6,0.04,0,-0.288423991612323
"83",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2012,7,64.7,10,4.7,0,0,1.26933493840326
"84",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2012,2,66.3,8.1,5.6,0.01,0,0.00660610876941692
"85",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2012,1,63.8,9,6.4,0.22,0,-0.784074560253645
"86",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2012,3,59,10,3.3,0,0,0.183624168998461
"87",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2012,4,62,10,4.9,0,0,0.561262697487087
"88",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2012,5,67.7,10,4.3,0,0,-1.68096606541413
"89",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2012,6,69,8.7,1.8,0.01,0,0.868094001884096
"90",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2012,7,65.2,5.9,5.1,0.25,1,1.84759393515147
"91",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2012,2,62.4,7.6,3.9,0.37,1,-0.725068540177297
"92",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2012,1,60.5,9.5,3.9,0.75,0,-1.149911884727
"93",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2012,3,60.6,10,4.7,0.46,0,0.101015740891574
"94",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2012,4,63.7,7.3,2.4,0,0,0.549461493471817
"95",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2012,5,65.6,1.5,3.5,0.45,1,-0.524448071917714
